Country/Region,timestamp,conf_cases,recov_cases,death_cases
Afghanistan,2020-01-22,0,0,0
Albania,2020-01-22,0,0,0
Algeria,2020-01-22,0,0,0
Andorra,2020-01-22,0,0,0
Argentina,2020-01-22,0,0,0
Armenia,2020-01-22,0,0,0
Australia,2020-01-22,0,0,0
Austria,2020-01-22,0,0,0
Azerbaijan,2020-01-22,0,0,0
Bahrain,2020-01-22,0,0,0
Bangladesh,2020-01-22,0,0,0
Belarus,2020-01-22,0,0,0
Belgium,2020-01-22,0,0,0
Bhutan,2020-01-22,0,0,0
Bosnia and Herzegovina,2020-01-22,0,0,0
Brazil,2020-01-22,0,0,0
Brunei,2020-01-22,0,0,0
Bulgaria,2020-01-22,0,0,0
Cambodia,2020-01-22,0,0,0
Cameroon,2020-01-22,0,0,0
Canada,2020-01-22,0,0,0
Chile,2020-01-22,0,0,0
Colombia,2020-01-22,0,0,0
Costa Rica,2020-01-22,0,0,0
Croatia,2020-01-22,0,0,0
Cyprus,2020-01-22,0,0,0
Czech Republic,2020-01-22,0,0,0
Denmark,2020-01-22,0,0,0
Dominican Republic,2020-01-22,0,0,0
Ecuador,2020-01-22,0,0,0
Egypt,2020-01-22,0,0,0
Estonia,2020-01-22,0,0,0
Faroe Islands,2020-01-22,0,0,0
Finland,2020-01-22,0,0,0
France,2020-01-22,0,0,0
French Guiana,2020-01-22,0,0,0
Georgia,2020-01-22,0,0,0
Germany,2020-01-22,0,0,0
Gibraltar,2020-01-22,0,0,0
Greece,2020-01-22,0,0,0
Hong Kong,2020-01-22,0,0,0
Hungary,2020-01-22,0,0,0
Iceland,2020-01-22,0,0,0
India,2020-01-22,0,0,0
Indonesia,2020-01-22,0,0,0
Iran,2020-01-22,0,0,0
Iraq,2020-01-22,0,0,0
Ireland,2020-01-22,0,0,0
Israel,2020-01-22,0,0,0
Italy,2020-01-22,0,0,0
Japan,2020-01-22,2,0,0
Jordan,2020-01-22,0,0,0
Kuwait,2020-01-22,0,0,0
Latvia,2020-01-22,0,0,0
Lebanon,2020-01-22,0,0,0
Liechtenstein,2020-01-22,0,0,0
Lithuania,2020-01-22,0,0,0
Luxembourg,2020-01-22,0,0,0
Macau,2020-01-22,1,0,0
Mainland China,2020-01-22,547,28,17
Malaysia,2020-01-22,0,0,0
Maldives,2020-01-22,0,0,0
Malta,2020-01-22,0,0,0
Martinique,2020-01-22,0,0,0
Mexico,2020-01-22,0,0,0
Moldova,2020-01-22,0,0,0
Monaco,2020-01-22,0,0,0
Morocco,2020-01-22,0,0,0
Nepal,2020-01-22,0,0,0
Netherlands,2020-01-22,0,0,0
New Zealand,2020-01-22,0,0,0
Nigeria,2020-01-22,0,0,0
North Macedonia,2020-01-22,0,0,0
Norway,2020-01-22,0,0,0
Oman,2020-01-22,0,0,0
Others,2020-01-22,0,0,0
Pakistan,2020-01-22,0,0,0
Palestine,2020-01-22,0,0,0
Paraguay,2020-01-22,0,0,0
Peru,2020-01-22,0,0,0
Philippines,2020-01-22,0,0,0
Poland,2020-01-22,0,0,0
Portugal,2020-01-22,0,0,0
Qatar,2020-01-22,0,0,0
Romania,2020-01-22,0,0,0
Russia,2020-01-22,0,0,0
Saint Barthelemy,2020-01-22,0,0,0
San Marino,2020-01-22,0,0,0
Saudi Arabia,2020-01-22,0,0,0
Senegal,2020-01-22,0,0,0
Serbia,2020-01-22,0,0,0
Singapore,2020-01-22,0,0,0
Slovakia,2020-01-22,0,0,0
Slovenia,2020-01-22,0,0,0
South Africa,2020-01-22,0,0,0
South Korea,2020-01-22,1,0,0
Spain,2020-01-22,0,0,0
Sri Lanka,2020-01-22,0,0,0
St. Martin,2020-01-22,0,0,0
Sweden,2020-01-22,0,0,0
Switzerland,2020-01-22,0,0,0
Taiwan,2020-01-22,1,0,0
Thailand,2020-01-22,2,0,0
Togo,2020-01-22,0,0,0
Tunisia,2020-01-22,0,0,0
UK,2020-01-22,0,0,0
US,2020-01-22,1,0,0
Ukraine,2020-01-22,0,0,0
United Arab Emirates,2020-01-22,0,0,0
Vatican City,2020-01-22,0,0,0
Vietnam,2020-01-22,0,0,0
Afghanistan,2020-01-23,0,0,0
Albania,2020-01-23,0,0,0
Algeria,2020-01-23,0,0,0
Andorra,2020-01-23,0,0,0
Argentina,2020-01-23,0,0,0
Armenia,2020-01-23,0,0,0
Australia,2020-01-23,0,0,0
Austria,2020-01-23,0,0,0
Azerbaijan,2020-01-23,0,0,0
Bahrain,2020-01-23,0,0,0
Bangladesh,2020-01-23,0,0,0
Belarus,2020-01-23,0,0,0
Belgium,2020-01-23,0,0,0
Bhutan,2020-01-23,0,0,0
Bosnia and Herzegovina,2020-01-23,0,0,0
Brazil,2020-01-23,0,0,0
Brunei,2020-01-23,0,0,0
Bulgaria,2020-01-23,0,0,0
Cambodia,2020-01-23,0,0,0
Cameroon,2020-01-23,0,0,0
Canada,2020-01-23,0,0,0
Chile,2020-01-23,0,0,0
Colombia,2020-01-23,0,0,0
Costa Rica,2020-01-23,0,0,0
Croatia,2020-01-23,0,0,0
Cyprus,2020-01-23,0,0,0
Czech Republic,2020-01-23,0,0,0
Denmark,2020-01-23,0,0,0
Dominican Republic,2020-01-23,0,0,0
Ecuador,2020-01-23,0,0,0
Egypt,2020-01-23,0,0,0
Estonia,2020-01-23,0,0,0
Faroe Islands,2020-01-23,0,0,0
Finland,2020-01-23,0,0,0
France,2020-01-23,0,0,0
French Guiana,2020-01-23,0,0,0
Georgia,2020-01-23,0,0,0
Germany,2020-01-23,0,0,0
Gibraltar,2020-01-23,0,0,0
Greece,2020-01-23,0,0,0
Hong Kong,2020-01-23,2,0,0
Hungary,2020-01-23,0,0,0
Iceland,2020-01-23,0,0,0
India,2020-01-23,0,0,0
Indonesia,2020-01-23,0,0,0
Iran,2020-01-23,0,0,0
Iraq,2020-01-23,0,0,0
Ireland,2020-01-23,0,0,0
Israel,2020-01-23,0,0,0
Italy,2020-01-23,0,0,0
Japan,2020-01-23,1,0,0
Jordan,2020-01-23,0,0,0
Kuwait,2020-01-23,0,0,0
Latvia,2020-01-23,0,0,0
Lebanon,2020-01-23,0,0,0
Liechtenstein,2020-01-23,0,0,0
Lithuania,2020-01-23,0,0,0
Luxembourg,2020-01-23,0,0,0
Macau,2020-01-23,2,0,0
Mainland China,2020-01-23,639,30,18
Malaysia,2020-01-23,0,0,0
Maldives,2020-01-23,0,0,0
Malta,2020-01-23,0,0,0
Martinique,2020-01-23,0,0,0
Mexico,2020-01-23,0,0,0
Moldova,2020-01-23,0,0,0
Monaco,2020-01-23,0,0,0
Morocco,2020-01-23,0,0,0
Nepal,2020-01-23,0,0,0
Netherlands,2020-01-23,0,0,0
New Zealand,2020-01-23,0,0,0
Nigeria,2020-01-23,0,0,0
North Macedonia,2020-01-23,0,0,0
Norway,2020-01-23,0,0,0
Oman,2020-01-23,0,0,0
Others,2020-01-23,0,0,0
Pakistan,2020-01-23,0,0,0
Palestine,2020-01-23,0,0,0
Paraguay,2020-01-23,0,0,0
Peru,2020-01-23,0,0,0
Philippines,2020-01-23,0,0,0
Poland,2020-01-23,0,0,0
Portugal,2020-01-23,0,0,0
Qatar,2020-01-23,0,0,0
Romania,2020-01-23,0,0,0
Russia,2020-01-23,0,0,0
Saint Barthelemy,2020-01-23,0,0,0
San Marino,2020-01-23,0,0,0
Saudi Arabia,2020-01-23,0,0,0
Senegal,2020-01-23,0,0,0
Serbia,2020-01-23,0,0,0
Singapore,2020-01-23,1,0,0
Slovakia,2020-01-23,0,0,0
